"Index","Model","Delta_g"
83,"NekoPunchBBB/Llama-2-13b-hf_Open-Platypus-QLoRA-multigpu",-1.000000000001e-05
84,"harborwater/open-llama-3b-v2-wizard-evol-instuct-v2-196k",0.000340000000000007
85,"pillowtalks-ai/delta13b",0.000200000000000033
86,"Isotonic/smol_llama-4x220M-MoE",-0.00103999999999999
87,"chargoddard/llama-2-16b-nastychat",0.000149999999999983
88,"chargoddard/SmolLlamix-8x101M",-0.00111
89,"chargoddard/duplicitous-slurpbeast-13b",3.99999999999845e-05
90,"chargoddard/internlm2-base-7b-llama",0.000170000000000003
91,"chargoddard/ypotryll-22b-epoch2-qlora",7.00000000000145e-05
92,"brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-ExtremeDensity",-8.9999999999979e-05
93,"brucethemoose/Yi-34B-200K-DARE-merge-v5",-9.9999999999989e-05
94,"sia-ai/llama-2-7b-1-percent-open-orca-1000-steps-v0",0.000140000000000029
95,"Eric111/Snorkel-Mistral-PairRM-DPO-openchat-3.5-0106-laser",-0.000120000000000009
96,"0x7194633/fialka-13B-v4",-0.000139999999999973
97,"togethercomputer/RedPajama-INCITE-Chat-7B-v0.1",0.000570000000000015
98,"togethercomputer/GPT-NeoXT-Chat-Base-20B",0.000329999999999997
99,"togethercomputer/RedPajama-INCITE-Instruct-3B-v1",0.000390000000000001
100,"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e3",-7.00000000000145e-05
101,"Josephgflowers/160M-TinyLLama-Mini-Cinder",-0.000960000000000016
102,"Josephgflowers/Tinyllama-1.3B-Cinder-Reason-Test",0.000209999999999988
103,"Josephgflowers/Cinder-Phi-2-STEM-2.94B-Test",0.000400000000000011
104,"Josephgflowers/TinyLlama-748M-Reason-With-Cinder-Test-2",-0.000719999999999998
105,"Josephgflowers/distillgpt2Cinder",-0.00107000000000002
106,"Josephgflowers/Cinder-Phi-2-V1-F16-gguf",0.000340000000000007
107,"Josephgflowers/Cinder-1.3B-Test",0.000269999999999992
108,"Josephgflowers/tinyllama-730M-test",-0.000749999999999973
109,"Fredithefish/RedPajama-INCITE-Chat-3B-Instruction-Tuning-with-GPT-4",0.000390000000000001
