term,estimate,std_error,t_value,p_value,ci_low_95,ci_high_95
(Intercept),-0.0014175677375735422,9.174146011542303e-5,-15.451767780783653,1.825655097120299e-45,-0.0015977479430474345,-0.0012373875320996499
Ability,1.4208333890117857e-5,9.072815404411294e-7,15.660336132497111,1.813883156055613e-46,1.2426433164168218e-5,1.5990234616067498e-5
